time,bat,temp,DO,Q 
1458415200,+3.50,+18.680, +7.594,+0.989
1458416100,+3.50,+18.688, +7.567,+0.989
1458417000,+3.50,+18.646, +7.501,+0.991
1458417900,+3.50,+18.613, +7.433,+0.990
1458418800,+3.50,+18.604, +7.430,+0.989
1458419700,+3.50,+18.604, +7.351,+0.989
1458420600,+3.50,+18.503, +7.269,+0.989
1458421500,+3.50,+18.495, +7.262,+0.990
1458422400,+3.50,+18.512, +7.281,+0.990
1458423300,+3.50,+18.512, +7.216,+0.989
1458424200,+3.50,+18.444, +7.152,+0.989
1458425100,+3.50,+18.436, +7.157,+0.990
1458426000,+3.50,+18.419, +7.151,+0.989
1458426900,+3.50,+18.444, +7.116,+0.989
1458427800,+3.50,+18.402, +7.030,+0.989
1458428700,+3.50,+18.326, +6.974,+0.988
1458429600,+3.50,+18.360, +7.061,+0.989
1458430500,+3.50,+18.360, +7.093,+0.990
1458431400,+3.50,+18.377, +7.064,+0.990
1458432300,+3.50,+18.326, +6.929,+0.989
1458433200,+3.50,+18.318, +6.973,+0.989
1458434100,+3.50,+18.310, +6.912,+0.989
1458435000,+3.50,+18.284, +6.930,+0.989
1458435900,+3.50,+18.293, +6.963,+0.989
1458436800,+3.50,+18.251, +6.875,+0.988
1458437700,+3.50,+18.234, +6.833,+0.989
1458438600,+3.50,+18.267, +6.924,+0.989
1458439500,+3.50,+18.276, +6.961,+0.989
1458440400,+3.50,+18.267, +6.959,+0.989
1458441300,+3.50,+18.276, +6.970,+0.989
1458442200,+3.50,+18.251, +6.833,+0.989
1458443100,+3.50,+18.234, +6.882,+0.989
1458444000,+3.50,+18.259, +6.937,+0.990
1458444900,+3.50,+18.234, +6.888,+0.989
1458445800,+3.50,+18.267, +6.949,+0.989
1458446700,+3.50,+18.251, +6.872,+0.989
1458447600,+3.50,+18.234, +6.890,+0.989
1458448500,+3.50,+18.251, +6.904,+0.988
1458449400,+3.50,+18.234, +6.867,+0.989
1458450300,+3.50,+18.259, +6.914,+0.989
1458451200,+3.50,+18.242, +6.902,+0.991
1458452100,+3.50,+18.234, +6.892,+0.989
1458453000,+3.50,+18.276, +6.893,+0.989
1458453900,+3.50,+18.208, +6.851,+0.989
1458454800,+3.50,+18.259, +6.888,+0.989
1458455700,+3.50,+18.234, +6.883,+0.989
1458456600,+3.50,+18.259, +6.893,+0.989
1458457500,+3.50,+18.267, +6.871,+0.989
1458458400,+3.50,+18.276, +6.883,+0.989
1458459300,+3.50,+18.276, +6.851,+0.989
1458460200,+3.50,+18.259, +6.850,+0.989
1458461100,+3.50,+18.284, +6.894,+0.990
1458462000,+3.50,+18.310, +6.896,+0.989
1458462900,+3.50,+18.301, +6.901,+0.989
1458463800,+3.50,+18.276, +6.810,+0.989
1458464700,+3.50,+18.310, +6.855,+0.989
1458465600,+3.50,+18.293, +6.843,+0.989
1458466500,+3.50,+18.369, +6.909,+0.990
1458467400,+3.50,+18.335, +6.779,+0.989
1458468300,+3.50,+18.369, +6.825,+0.989
1458469200,+3.50,+18.377, +6.853,+0.989
1458470100,+3.50,+18.377, +6.903,+0.989
1458471000,+3.50,+18.385, +6.846,+0.989
1458471900,+3.50,+18.352, +6.835,+0.990
1458472800,+3.50,+18.402, +6.862,+0.989
1458473700,+3.50,+18.427, +6.884,+0.990
1458474600,+3.50,+18.427, +6.879,+0.989
1458475500,+3.50,+18.402, +6.781,+0.990
1458476400,+3.50,+18.402, +6.825,+0.989
1458477300,+3.50,+18.427, +6.819,+0.989
1458478200,+3.50,+18.453, +6.834,+0.989
1458479100,+3.50,+18.402, +6.743,+0.988
1458480000,+3.50,+18.427, +6.782,+0.989
1458480900,+3.50,+18.444, +6.771,+0.989
1458481800,+3.50,+18.427, +6.766,+0.988
1458482700,+3.50,+18.444, +6.784,+0.989
1458483600,+3.50,+18.436, +6.699,+0.989
1458484500,+3.50,+18.453, +6.739,+0.990
1458485400,+3.50,+18.427, +6.672,+0.989
1458486300,+3.50,+18.436, +6.716,+0.989
1458487200,+3.50,+18.427, +6.692,+0.989
1458488100,+3.50,+18.427, +6.660,+0.989
1458489000,+3.50,+18.402, +6.667,+0.988
1458489900,+3.50,+18.369, +6.639,+0.989
1458490800,+3.50,+18.444, +6.663,+0.989
1458491700,+3.50,+18.436, +6.615,+0.989
1458492600,+3.50,+18.402, +6.547,+0.989
1458493500,+3.50,+18.394, +6.621,+0.990
1458494400,+3.50,+18.419, +6.609,+0.990
1458495300,+3.50,+18.453, +6.621,+0.989
1458496200,+3.50,+18.427, +6.635,+0.989
1458497100,+3.50,+18.402, +6.498,+0.989
1458498000,+3.50,+18.419, +6.468,+0.989
1458498900,+3.50,+18.427, +6.551,+0.989
1458499800,+3.50,+18.427, +6.538,+0.989
1458500700,+3.50,+18.402, +6.523,+0.990
1458501600,+3.50,+18.419, +6.517,+0.989
1458502500,+3.50,+18.385, +6.499,+0.990
1458503400,+3.50,+18.394, +6.493,+0.989
1458504300,+3.50,+18.411, +6.548,+0.989
1458505200,+3.50,+18.394, +6.457,+0.989
1458506100,+3.50,+18.352, +6.396,+0.988
1458507000,+3.50,+18.360, +6.421,+0.989
1458507900,+3.50,+18.369, +6.507,+0.989
1458508800,+3.50,+18.352, +6.437,+0.990
1458509700,+3.50,+18.360, +6.390,+0.989
1458510600,+3.50,+18.301, +6.429,+0.989
1458511500,+3.49,+18.293, +6.501,+0.989
1458512400,+3.50,+18.293, +6.521,+0.989
1458513300,+3.50,+18.267, +6.437,+0.989
1458514200,+3.50,+18.276, +6.488,+0.989
1458515100,+3.50,+18.276, +6.478,+0.989
1458516000,+3.50,+18.284, +6.452,+0.988
1458516900,+3.50,+18.267, +6.489,+0.988
