"time","bat","temp","DO","Q","day","Julian_Date"
1459190640,3.5,5.728,10.099,0.974,16888.7805555556,121.780555555557
1459191540,3.49,4.141,10.569,0.985,16888.7909722222,121.790972222221
1459192440,3.48,4.081,10.612,0.987,16888.8013888889,121.801388888889
1459193340,3.48,4.131,10.634,0.988,16888.8118055556,121.811805555557
1459194240,3.48,4.263,10.598,0.987,16888.8222222222,121.822222222221
1459195140,3.48,4.394,10.603,0.987,16888.8326388889,121.832638888889
1459196040,3.48,4.465,10.612,0.988,16888.8430555556,121.843055555557
1459196940,3.48,4.555,10.594,0.987,16888.8534722222,121.853472222221
1459197840,3.48,4.676,10.571,0.986,16888.8638888889,121.863888888889
1459198740,3.48,4.746,10.592,0.988,16888.8743055556,121.874305555557
1459199640,3.47,4.806,10.577,0.987,16888.8847222222,121.884722222221
1459200540,3.47,4.886,10.56,0.987,16888.8951388889,121.895138888889
1459201440,3.47,4.926,10.566,0.987,16888.9055555556,121.905555555557
1459202340,3.47,4.936,10.576,0.988,16888.9159722222,121.915972222221
1459203240,3.47,4.956,10.55,0.987,16888.9263888889,121.926388888889
1459204140,3.47,4.966,10.564,0.988,16888.9368055556,121.936805555557
1459205040,3.47,4.986,10.542,0.988,16888.9472222222,121.947222222221
1459205940,3.47,5.025,10.521,0.988,16888.9576388889,121.957638888889
1459206840,3.47,5.016,10.517,0.987,16888.9680555556,121.968055555557
1459207740,3.46,5.035,10.488,0.987,16888.9784722222,121.978472222221
1459208640,3.46,5.006,10.499,0.988,16888.9888888889,121.988888888889
1459209540,3.46,4.996,10.48,0.987,16888.9993055556,121.999305555557
1459210440,3.46,4.946,10.469,0.987,16889.0097222222,122.009722222221
1459211340,3.46,4.936,10.459,0.988,16889.0201388889,122.020138888889
1459212240,3.46,4.886,10.437,0.987,16889.0305555556,122.030555555557
1459213140,3.46,4.846,10.445,0.988,16889.0409722222,122.040972222221
1459214040,3.46,4.816,10.419,0.987,16889.0513888889,122.051388888889
1459214940,3.46,4.756,10.43,0.988,16889.0618055556,122.061805555557
1459215840,3.46,4.696,10.434,0.988,16889.0722222222,122.072222222221
1459216740,3.46,4.676,10.405,0.987,16889.0826388889,122.082638888889
1459217640,3.45,4.626,10.412,0.988,16889.0930555556,122.093055555557
1459218540,3.45,4.605,10.392,0.988,16889.1034722222,122.103472222221
1459219440,3.45,4.555,10.398,0.988,16889.1138888889,122.113888888889
1459220340,3.45,4.495,10.388,0.987,16889.1243055556,122.124305555557
1459221240,3.45,4.455,10.384,0.987,16889.1347222222,122.134722222221
1459222140,3.45,4.404,10.358,0.987,16889.1451388889,122.145138888889
1459223040,3.45,4.354,10.377,0.988,16889.1555555556,122.155555555557
1459223940,3.45,4.303,10.366,0.988,16889.1659722222,122.165972222221
1459224840,3.45,4.263,10.371,0.989,16889.1763888889,122.176388888889
1459225740,3.45,4.202,10.331,0.987,16889.1868055556,122.186805555557
1459226640,3.45,4.141,10.346,0.988,16889.1972222222,122.197222222221
1459227540,3.44,4.111,10.326,0.988,16889.2076388889,122.207638888889
1459228440,3.44,4.02,10.352,0.988,16889.2180555556,122.218055555557
1459229340,3.44,3.979,10.326,0.987,16889.2284722222,122.228472222221
1459230240,3.44,3.938,10.332,0.987,16889.2388888889,122.238888888889
1459231140,3.44,3.888,10.331,0.988,16889.2493055556,122.249305555557
1459232040,3.44,3.816,10.33,0.988,16889.2597222222,122.259722222221
1459232940,3.44,3.765,10.332,0.988,16889.2701388889,122.270138888889
1459233840,3.44,3.735,10.346,0.988,16889.2805555556,122.280555555557
1459234740,3.44,3.724,10.315,0.988,16889.2909722222,122.290972222221
1459235640,3.43,3.663,10.311,0.988,16889.3013888889,122.301388888889
1459236540,3.43,3.592,10.34,0.988,16889.3118055556,122.311805555557
1459237440,3.43,3.581,10.33,0.988,16889.3222222222,122.322222222221
1459238340,3.43,3.54,10.334,0.988,16889.3326388889,122.332638888889
1459239240,3.43,3.53,10.314,0.988,16889.3430555556,122.343055555557
1459240140,3.43,3.489,10.32,0.988,16889.3534722222,122.353472222221
1459241040,3.43,3.469,10.315,0.988,16889.3638888889,122.363888888889
1459241940,3.43,3.469,10.308,0.988,16889.3743055556,122.374305555557
1459242840,3.43,3.438,10.319,0.988,16889.3847222222,122.384722222221
1459243740,3.43,3.407,10.315,0.988,16889.3951388889,122.395138888889
1459244640,3.43,3.386,10.315,0.988,16889.4055555556,122.405555555557
1459245540,3.43,3.335,10.309,0.988,16889.4159722222,122.415972222221
1459246440,3.43,3.325,10.301,0.988,16889.4263888889,122.426388888889
1459247340,3.43,3.314,10.305,0.988,16889.4368055556,122.436805555557
1459248240,3.42,3.273,10.292,0.987,16889.4472222222,122.447222222221
1459249140,3.42,3.253,10.29,0.988,16889.4576388889,122.457638888889
1459250040,3.42,3.232,10.284,0.987,16889.4680555556,122.468055555557
1459250940,3.42,3.222,10.302,0.988,16889.4784722222,122.478472222221
1459251840,3.42,3.18,10.293,0.988,16889.4888888889,122.488888888889
1459252740,3.42,3.18,10.277,0.988,16889.4993055556,122.499305555557
1459253640,3.42,3.129,10.288,0.988,16889.5097222222,122.509722222221
1459254540,3.42,3.129,10.28,0.987,16889.5201388889,122.520138888889
1459255440,3.42,3.118,10.278,0.988,16889.5305555556,122.530555555557
1459256340,3.42,3.087,10.285,0.988,16889.5409722222,122.540972222221
